Hair Color,Eye Color,Skin Tone,Under Tone,Personal Color Season,Recommended Clothing Colors,Avoid Clothing Colors,Recommended Jewelry Metal,Recommended Clothing Color Wheel Region,Avoid Clothing Color Wheel Region
Black,Light Blue,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Blue,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Blue,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Blue,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Blue,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Blue,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Blue,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Blue,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Blue,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Blue,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Blue,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Blue,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Blue,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Blue,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Blue,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Blue,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Blue,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Brown,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Brown,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Brown,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Brown,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Brown,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Brown,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Brown,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Brown,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Brown,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Brown,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Brown,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Brown,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Brown,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Brown,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Brown,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Brown,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Brown,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Brown,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Green,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Green,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Green,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Green,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Green,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Green,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Green,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Green,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Green,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Green,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Green,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Green,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Green,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Green,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Green,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Green,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Green,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Green,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Blue,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Blue,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Blue,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Blue,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Blue,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Blue,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Blue,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Blue,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Blue,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Blue,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Blue,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Blue,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Blue,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Blue,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Blue,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Blue,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Blue,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Blue,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Hazel,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Hazel,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Hazel,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Hazel,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Hazel,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Hazel,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Hazel,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Hazel,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Hazel,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Hazel,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Hazel,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Hazel,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Hazel,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Hazel,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Hazel,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Hazel,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Hazel,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Hazel,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Grey,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Grey,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Grey,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Grey,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Grey,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Grey,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Grey,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Grey,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Grey,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Grey,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Grey,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Grey,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Grey,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Grey,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Grey,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Grey,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Grey,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Grey,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Black,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Black,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Black,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Black,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Black,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Black,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Black,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Black,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Black,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Black,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Black,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Black,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Black,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Black,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Black,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Black,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Black,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Brown,Black,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Brown,Light Brown,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Brown,Light Brown,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
